Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
182,French Polynesia,Pacific Region,2,2,39,0,19.5,2
183,Saint Lucia,Latin America,2,2,0,0,0,0
184,Cayman Islands,Latin America,2,2,5,0,2.5,1
185,Seychelles,Africa,2,2,9,2,4.5,1
186,Guam,Pacific Region,2,2,9,1,4.5,2
187,Saint Helena,Africa,2,2,62,0,31,1
188,Gambia,Africa,2,2,0,0,0,0
189,Gibraltar,Western Europe,2,2,18,0,9,1
190,Timor-Leste,Asiatic Region,2,2,0,0,0,0
191,Nauru,Pacific Region,2,2,2,0,1,1
192,Antigua and Barbuda,Latin America,2,2,1,1,0.5,1
193,Christmas Island,Pacific Region,1,1,0,0,0,0
194,Republic of South Sudan,Africa,1,1,4,0,4,1
195,Central African Republic,Africa,1,1,0,0,0,0
196,Somalia,Africa,1,1,3,0,3,1
197,Solomon Islands,Pacific Region,1,1,5,0,5,1
198,Bahamas,Latin America,1,1,0,0,0,0
199,Guinea-Bissau,Africa,1,1,7,2,7,1
200,British Indian Ocean Territory,Africa,1,1,67,0,67,1
201,Kiribati,Pacific Region,1,1,17,0,17,1
202,Comoros,Africa,1,1,0,0,0,0
203,Palau,Pacific Region,1,1,0,0,0,0
204,Montserrat,Latin America,1,1,2,0,2,1
205,Sao Tome and Principe,Africa,1,1,0,0,0,0
